participant_id,block,trial,image_name,posX,posY,image_stem,base_name,set,category
p003,1,1,cactus_2.jpg,1,3,cactus_2,cactus,2,plants
p003,1,1,cherry_2.jpg,9,4,cherry_2,cherry,2,plants
p003,1,1,flower_2.jpg,1,5,flower_2,flower,2,plants
p003,1,1,grass_2.jpg,7,1,grass_2,grass,2,plants
p003,1,1,leaf_2.jpg,5,1,leaf_2,leaf,2,plants
p003,1,1,peanut_2.jpg,4,5,peanut_2,peanut,2,plants
p003,1,1,tree_2.jpg,6,1,tree_2,tree,2,plants
p003,1,2,butterfly_1.jpg,4,3,butterfly_1,butterfly,1,animals
p003,1,2,dolphin_1.jpg,10,1,dolphin_1,dolphin,1,animals
p003,1,2,fish_1.jpg,5,1,fish_1,fish,1,animals
p003,1,2,fox_1.jpg,8,3,fox_1,fox,1,animals
p003,1,2,horse_1.jpg,10,4,horse_1,horse,1,animals
p003,1,2,ladybug_1.jpg,5,5,ladybug_1,ladybug,1,animals
p003,1,2,lion_1.jpg,2,2,lion_1,lion,1,animals
p003,1,2,peacock_1.jpg,9,6,peacock_1,peacock,1,animals
p003,1,2,pigeon_1.jpg,8,6,pigeon_1,pigeon,1,animals
p003,1,2,sheep_1.jpg,7,1,sheep_1,sheep,1,animals
p003,1,2,squirrel_1.jpg,1,6,squirrel_1,squirrel,1,animals
p003,1,2,wolf_1.jpg,7,3,wolf_1,wolf,1,animals
p003,1,3,angry_1.jpg,7,6,angry_1,angry,1,emotions
p003,1,3,angry_2.jpg,7,3,angry_2,angry,2,emotions
p003,1,3,disgust_1.jpg,7,2,disgust_1,disgust,1,emotions
p003,1,3,disgust_2.jpg,7,5,disgust_2,disgust,2,emotions
p003,1,3,fearful_1.jpg,4,3,fearful_1,fearful,1,emotions
p003,1,3,fearful_2.jpg,5,3,fearful_2,fearful,2,emotions
p003,1,3,happy_1.jpg,5,5,happy_1,happy,1,emotions
p003,1,3,happy_2.jpg,4,5,happy_2,happy,2,emotions
p003,1,3,sad_1.jpg,7,4,sad_1,sad,1,emotions
p003,1,3,sad_2.jpg,5,1,sad_2,sad,2,emotions
p003,1,3,surprise_1.jpg,3,3,surprise_1,surprise,1,emotions
p003,1,3,surprise_2.jpg,2,3,surprise_2,surprise,2,emotions
p003,2,4,acorn_1.jpg,10,1,acorn_1,acorn,1,plants
p003,2,4,apple_1.jpg,6,1,apple_1,apple,1,plants
p003,2,4,blueberry_1.jpg,6,6,blueberry_1,blueberry,1,plants
p003,2,4,broccoli_1.jpg,10,6,broccoli_1,broccoli,1,plants
p003,2,4,cabbage_1.jpg,4,3,cabbage_1,cabbage,1,plants
p003,2,4,cactus_1.jpg,1,3,cactus_1,cactus,1,plants
p003,2,4,cherry_1.jpg,7,1,cherry_1,cherry,1,plants
p003,2,4,flower_1.jpg,10,3,flower_1,flower,1,plants
p003,2,4,grass_1.jpg,7,2,grass_1,grass,1,plants
p003,2,4,leaf_1.jpg,1,5,leaf_1,leaf,1,plants
p003,2,4,peanut_1.jpg,1,1,peanut_1,peanut,1,plants
p003,2,4,tree_1.jpg,4,1,tree_1,tree,1,plants
p003,2,5,butterfly_2.jpg,1,6,butterfly_2,butterfly,2,animals
p003,2,5,dolphin_2.jpg,3,5,dolphin_2,dolphin,2,animals
p003,2,5,fish_2.jpg,10,6,fish_2,fish,2,animals
p003,2,5,fox_2.jpg,3,1,fox_2,fox,2,animals
p003,2,5,horse_2.jpg,10,3,horse_2,horse,2,animals
p003,2,5,ladybug_2.jpg,6,6,ladybug_2,ladybug,2,animals
p003,2,5,lion_2.jpg,7,1,lion_2,lion,2,animals
p003,2,5,peacock_2.jpg,4,3,peacock_2,peacock,2,animals
p003,2,5,pigeon_2.jpg,5,3,pigeon_2,pigeon,2,animals
p003,2,5,sheep_2.jpg,10,1,sheep_2,sheep,2,animals
p003,2,5,squirrel_2.jpg,1,4,squirrel_2,squirrel,2,animals
p003,2,5,wolf_2.jpg,2,1,wolf_2,wolf,2,animals
p003,2,6,angry_1.jpg,6,1,angry_1,angry,1,emotions
p003,2,6,angry_2.jpg,10,1,angry_2,angry,2,emotions
p003,2,6,disgust_1.jpg,7,1,disgust_1,disgust,1,emotions
p003,2,6,disgust_2.jpg,9,1,disgust_2,disgust,2,emotions
p003,2,6,fearful_1.jpg,10,6,fearful_1,fearful,1,emotions
p003,2,6,fearful_2.jpg,6,3,fearful_2,fearful,2,emotions
p003,2,6,happy_1.jpg,4,5,happy_1,happy,1,emotions
