"trial_type","trial_index","plugin_version","time_elapsed","category_order","set_assignment","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","block","trial","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","72026","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""emotions"":{""block1"":1,""block2"":0}}","p006","6","","","","","","","","","","","","",""
"preload","1","2.1.0","72365","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""emotions"":{""block1"":1,""block2"":0}}","p006","6","true","false","[]","[]","[]","","","","","","","",""
"html-button-response","2","2.1.0","80705","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""emotions"":{""block1"":1,""block2"":0}}","p006","6","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","106753","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""emotions"":{""block1"":1,""block2"":0}}","p006","6","","","","","","","","","","","","",""
"emotion-grid","4","null","156448","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""emotions"":{""block1"":1,""block2"":0}}","p006","6","","","","","","demo","practice","null","-1","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_1.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":111520},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""pizza_2.jpg"",""grid_col"":7,""grid_row"":3,""timestamp"":117808},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_1.jpg"",""grid_col"":5,""grid_row"":2,""timestamp"":128198.00000000001},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""french_fries_2.jpg"",""grid_col"":5,""grid_row"":3,""timestamp"":132468},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""image"":""snowman_1.jpg"",""grid_col"":1,""grid_row"":4,""timestamp"":146843}]","","",""
"html-button-response","5","2.1.0","158109","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""emotions"":{""block1"":1,""block2"":0}}","p006","6","","","","","","","","","","","1660","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job! Let's try one more!
        </div>
      </div>


    ","0"
"html-button-response","6","2.1.0","162085","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""emotions"":{""block1"":1,""block2"":0}}","p006","6","","","","","","","","","","","","",""
"emotion-grid","7","null","176737","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""emotions"":{""block1"":1,""block2"":0}}","p006","6","","","","","","demo","practice","null","-2","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_1.jpg"",""grid_col"":7,""grid_row"":2,""timestamp"":168599},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""ice_cream_2.jpg"",""grid_col"":7,""grid_row"":3,""timestamp"":170717},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_1.jpg"",""grid_col"":4,""grid_row"":2,""timestamp"":172850},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""chocolate_2.jpg"",""grid_col"":4,""grid_row"":3,""timestamp"":174118},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-2,""image"":""cloud.jpg"",""grid_col"":1,""grid_row"":4,""timestamp"":175736}]","","",""
"html-button-response","8","2.1.0","178630","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""emotions"":{""block1"":1,""block2"":0}}","p006","6","","","","","","","","","","","1891","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Awesome! Now you're ready!
        </div>
      </div>


    ","0"
"html-button-response","9","2.1.0","188218","plants,animals,emotions","{""plants"":{""block1"":0,""block2"":1},""animals"":{""block1"":1,""block2"":0},""emotions"":{""block1"":1,""block2"":0}}","p006","6","","","","","","","","","","","","",""
