"trial_type","trial_index","plugin_version","time_elapsed","category_order","set_assignment","participant_id","version","success","timeout","failed_images","failed_audio","failed_video","participant","phase","image_order","block","trial","trial_in_block","placements","move_log","rt","stimulus","response"
"html-button-response","0","2.1.0","3145764","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","","",""
"preload","1","2.1.0","3160968","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","true","false","[]","[]","[]","","","","","","","","","","",""
"html-button-response","2","2.1.0","3235628","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","","",""
"html-button-response","3","2.1.0","3241529","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","","",""
"emotion-grid","4","null","3276018","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","demo","practice","","null","-1","-1","[{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""trial_in_block"":-1,""image"":""pizza_1.jpg"",""final_img_pos"":""(320, 312)"",""posX"":320,""posY"":312,""grid_col"":3,""grid_row"":3,""introduction_order"":1},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""trial_in_block"":-1,""image"":""pizza_2.jpg"",""final_img_pos"":""(424, 312)"",""posX"":424,""posY"":312,""grid_col"":4,""grid_row"":3,""introduction_order"":2},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""trial_in_block"":-1,""image"":""french_fries_1.jpg"",""final_img_pos"":""(840, 520)"",""posX"":840,""posY"":520,""grid_col"":8,""grid_row"":5,""introduction_order"":3},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""trial_in_block"":-1,""image"":""french_fries_2.jpg"",""final_img_pos"":""(736, 520)"",""posX"":736,""posY"":520,""grid_col"":7,""grid_row"":5,""introduction_order"":4},{""participant"":""demo"",""phase"":""practice"",""block"":null,""trial"":-1,""trial_in_block"":-1,""image"":""snowman_1.jpg"",""final_img_pos"":""(840, 104)"",""posX"":840,""posY"":104,""grid_col"":8,""grid_row"":1,""introduction_order"":5}]","[{""image_name"":""pizza_1.jpg"",""trial"":-1,""block"":null,""phase"":""practice"",""grid_col"":3,""grid_row"":3,""posX"":320,""posY"":312,""timestamp"":297553},{""image_name"":""pizza_2.jpg"",""trial"":-1,""block"":null,""phase"":""practice"",""grid_col"":4,""grid_row"":3,""posX"":424,""posY"":312,""timestamp"":310711},{""image_name"":""french_fries_1.jpg"",""trial"":-1,""block"":null,""phase"":""practice"",""grid_col"":8,""grid_row"":5,""posX"":840,""posY"":520,""timestamp"":313954},{""image_name"":""french_fries_2.jpg"",""trial"":-1,""block"":null,""phase"":""practice"",""grid_col"":7,""grid_row"":5,""posX"":736,""posY"":520,""timestamp"":315880},{""image_name"":""snowman_1.jpg"",""trial"":-1,""block"":null,""phase"":""practice"",""grid_col"":8,""grid_row"":1,""posX"":840,""posY"":104,""timestamp"":318023}]","","",""
"html-button-response","5","2.1.0","3280467","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","4446","
      <div style=""
        display:flex;
        flex-direction:column;
        align-items:center;
        justify-content:center;
        padding:80px 20px 40px 20px;
        text-align:center;
      "">
        <img src=""stimuli/fireworks.gif"" style=""
          width:300px;
          height:200px;
          animation: spinScale 1.5s ease-in-out infinite;
          margin-bottom:30px;
        "">
        <div style=""font-size:28px; font-weight:600;"">
          Great job!
        </div>
      </div>


    ","0"
"html-button-response","6","2.1.0","3289144","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","","",""
"html-button-response","7","2.1.0","3290033","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","887","
      <div style=""font-size:24px; padding:20px;"">
        Block 1 of 2
      </div>
    ","0"
"html-button-response","8","2.1.0","3292406","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","","",""
"emotion-grid","9","null","3344836","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","demo","main","[""stimuli/plants/cabbage_2.jpg"",""stimuli/plants/grass_2.jpg"",""stimuli/plants/apple_2.jpg"",""stimuli/plants/peanut_2.jpg"",""stimuli/plants/acorn_2.jpg"",""stimuli/plants/broccoli_2.jpg"",""stimuli/plants/blueberry_2.jpg"",""stimuli/plants/cherry_2.jpg"",""stimuli/plants/tree_2.jpg"",""stimuli/plants/flower_2.jpg"",""stimuli/plants/cactus_2.jpg"",""stimuli/plants/leaf_2.jpg""]","1","1","1","[{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""cabbage_2.jpg"",""final_img_pos"":""(424, 312)"",""posX"":424,""posY"":312,""grid_col"":4,""grid_row"":3,""introduction_order"":1},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""grass_2.jpg"",""final_img_pos"":""(736, 104)"",""posX"":736,""posY"":104,""grid_col"":7,""grid_row"":1,""introduction_order"":2},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""apple_2.jpg"",""final_img_pos"":""(840, 416)"",""posX"":840,""posY"":416,""grid_col"":8,""grid_row"":4,""introduction_order"":3},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""peanut_2.jpg"",""final_img_pos"":""(424, 520)"",""posX"":424,""posY"":520,""grid_col"":4,""grid_row"":5,""introduction_order"":4},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""acorn_2.jpg"",""final_img_pos"":""(1048, 104)"",""posX"":1048,""posY"":104,""grid_col"":10,""grid_row"":1,""introduction_order"":5},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""broccoli_2.jpg"",""final_img_pos"":""(840, 624)"",""posX"":840,""posY"":624,""grid_col"":8,""grid_row"":6,""introduction_order"":6},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""blueberry_2.jpg"",""final_img_pos"":""(320, 104)"",""posX"":320,""posY"":104,""grid_col"":3,""grid_row"":1,""introduction_order"":7},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""cherry_2.jpg"",""final_img_pos"":""(944, 416)"",""posX"":944,""posY"":416,""grid_col"":9,""grid_row"":4,""introduction_order"":8},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""tree_2.jpg"",""final_img_pos"":""(632, 104)"",""posX"":632,""posY"":104,""grid_col"":6,""grid_row"":1,""introduction_order"":9},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""flower_2.jpg"",""final_img_pos"":""(112, 520)"",""posX"":112,""posY"":520,""grid_col"":1,""grid_row"":5,""introduction_order"":10},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""cactus_2.jpg"",""final_img_pos"":""(112, 312)"",""posX"":112,""posY"":312,""grid_col"":1,""grid_row"":3,""introduction_order"":11},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":1,""trial_in_block"":1,""image"":""leaf_2.jpg"",""final_img_pos"":""(528, 104)"",""posX"":528,""posY"":104,""grid_col"":5,""grid_row"":1,""introduction_order"":12}]","[{""image_name"":""cabbage_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":4,""grid_row"":3,""posX"":424,""posY"":312,""timestamp"":339536},{""image_name"":""grass_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":7,""grid_row"":1,""posX"":736,""posY"":104,""timestamp"":343047},{""image_name"":""apple_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":4,""posX"":840,""posY"":416,""timestamp"":346699},{""image_name"":""peanut_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":4,""grid_row"":5,""posX"":424,""posY"":520,""timestamp"":349543},{""image_name"":""acorn_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":10,""grid_row"":1,""posX"":1048,""posY"":104,""timestamp"":354595},{""image_name"":""broccoli_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":6,""posX"":840,""posY"":624,""timestamp"":359608},{""image_name"":""blueberry_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":3,""grid_row"":1,""posX"":320,""posY"":104,""timestamp"":362778},{""image_name"":""cherry_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":9,""grid_row"":4,""posX"":944,""posY"":416,""timestamp"":365419},{""image_name"":""tree_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":6,""grid_row"":1,""posX"":632,""posY"":104,""timestamp"":367921},{""image_name"":""flower_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":1,""grid_row"":5,""posX"":112,""posY"":520,""timestamp"":371715.00000000006},{""image_name"":""cactus_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":1,""grid_row"":3,""posX"":112,""posY"":312,""timestamp"":378544},{""image_name"":""leaf_2.jpg"",""trial"":1,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":1,""posX"":528,""posY"":104,""timestamp"":383097}]","","",""
"html-button-response","10","2.1.0","3348802","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","3963","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"html-button-response","11","2.1.0","3352052","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","","",""
"emotion-grid","12","null","3386325","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","demo","main","[""stimuli/animals/butterfly_1.jpg"",""stimuli/animals/sheep_1.jpg"",""stimuli/animals/horse_1.jpg"",""stimuli/animals/lion_1.jpg"",""stimuli/animals/ladybug_1.jpg"",""stimuli/animals/dolphin_1.jpg"",""stimuli/animals/squirrel_1.jpg"",""stimuli/animals/pigeon_1.jpg"",""stimuli/animals/fish_1.jpg"",""stimuli/animals/wolf_1.jpg"",""stimuli/animals/fox_1.jpg"",""stimuli/animals/peacock_1.jpg""]","1","2","2","[{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""butterfly_1.jpg"",""final_img_pos"":""(424, 312)"",""posX"":424,""posY"":312,""grid_col"":4,""grid_row"":3,""introduction_order"":1},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""sheep_1.jpg"",""final_img_pos"":""(736, 104)"",""posX"":736,""posY"":104,""grid_col"":7,""grid_row"":1,""introduction_order"":2},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""horse_1.jpg"",""final_img_pos"":""(1048, 416)"",""posX"":1048,""posY"":416,""grid_col"":10,""grid_row"":4,""introduction_order"":3},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""lion_1.jpg"",""final_img_pos"":""(216, 208)"",""posX"":216,""posY"":208,""grid_col"":2,""grid_row"":2,""introduction_order"":4},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""ladybug_1.jpg"",""final_img_pos"":""(528, 520)"",""posX"":528,""posY"":520,""grid_col"":5,""grid_row"":5,""introduction_order"":5},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""dolphin_1.jpg"",""final_img_pos"":""(1048, 104)"",""posX"":1048,""posY"":104,""grid_col"":10,""grid_row"":1,""introduction_order"":6},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""squirrel_1.jpg"",""final_img_pos"":""(112, 624)"",""posX"":112,""posY"":624,""grid_col"":1,""grid_row"":6,""introduction_order"":7},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""pigeon_1.jpg"",""final_img_pos"":""(840, 624)"",""posX"":840,""posY"":624,""grid_col"":8,""grid_row"":6,""introduction_order"":8},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""fish_1.jpg"",""final_img_pos"":""(528, 104)"",""posX"":528,""posY"":104,""grid_col"":5,""grid_row"":1,""introduction_order"":9},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""wolf_1.jpg"",""final_img_pos"":""(736, 312)"",""posX"":736,""posY"":312,""grid_col"":7,""grid_row"":3,""introduction_order"":10},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""fox_1.jpg"",""final_img_pos"":""(840, 312)"",""posX"":840,""posY"":312,""grid_col"":8,""grid_row"":3,""introduction_order"":11},{""participant"":""demo"",""phase"":""main"",""block"":1,""trial"":2,""trial_in_block"":2,""image"":""peacock_1.jpg"",""final_img_pos"":""(944, 624)"",""posX"":944,""posY"":624,""grid_col"":9,""grid_row"":6,""introduction_order"":12}]","[{""image_name"":""butterfly_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":4,""grid_row"":3,""posX"":424,""posY"":312,""timestamp"":398733},{""image_name"":""sheep_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":7,""grid_row"":1,""posX"":736,""posY"":104,""timestamp"":400425},{""image_name"":""horse_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":5,""posX"":840,""posY"":520,""timestamp"":402401},{""image_name"":""lion_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":2,""grid_row"":2,""posX"":216,""posY"":208,""timestamp"":404127},{""image_name"":""horse_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":10,""grid_row"":4,""posX"":1048,""posY"":416,""timestamp"":408121},{""image_name"":""ladybug_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":5,""posX"":528,""posY"":520,""timestamp"":410787.00000000006},{""image_name"":""dolphin_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":10,""grid_row"":1,""posX"":1048,""posY"":104,""timestamp"":413091},{""image_name"":""squirrel_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":1,""grid_row"":6,""posX"":112,""posY"":624,""timestamp"":414867},{""image_name"":""pigeon_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":6,""posX"":840,""posY"":624,""timestamp"":417169},{""image_name"":""fish_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":5,""grid_row"":1,""posX"":528,""posY"":104,""timestamp"":419395},{""image_name"":""wolf_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":7,""grid_row"":3,""posX"":736,""posY"":312,""timestamp"":421571},{""image_name"":""fox_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":8,""grid_row"":3,""posX"":840,""posY"":312,""timestamp"":422997},{""image_name"":""peacock_1.jpg"",""trial"":2,""block"":1,""phase"":""main"",""grid_col"":9,""grid_row"":6,""posX"":944,""posY"":624,""timestamp"":428868}]","","",""
"html-button-response","13","2.1.0","3389643","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","3317","
    <div style=""
      display:flex;
      flex-direction:column;
      align-items:center;
      justify-content:center;
      padding:80px 20px 40px 20px;
      text-align:center;
    "">
      <img src=""stimuli/star.png"" style=""
        width:160px;
        height:160px;
        animation: spinScale 1.5s ease-in-out infinite;
        margin-bottom:30px;
      "">
      <div style=""font-size:28px; font-weight:600;"">
        Great job!
      </div>
    </div>

    <style>
      @keyframes spinScale {
        0%   { transform: scale(1) rotate(0deg); }
        50%  { transform: scale(1.4) rotate(180deg); }
        100% { transform: scale(1) rotate(360deg); }
      }
    </style>
  ","0"
"html-button-response","14","2.1.0","3399415","plants,animals,emotions","{""plants"":{""block1"":1,""block2"":0},""animals"":{""block1"":0,""block2"":1},""emotions"":{""block1"":0,""block2"":1}}","3","3","","","","","","","","","","","","","","","",""
